Type of Incident,Year of Incident
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2023
BURGLARY OF BUILDING - FORCED ENTRY,2022
EVADING ARREST DETENTION,2022
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ABANDONED PROPERTY (NO OFFENSE),2019
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2014
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
ROBBERY OF BUSINESS (AGG),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2020
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
FOUND PROPERTY (NO OFFENSE),2023
CRIM MISCHIEF > OR EQUAL $100 < $750,2020
FOUND PROPERTY (NO OFFENSE),2022
TAMPER W/GOVT RECORD,2020
LOST PROPERTY (NO OFFENSE),2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2019
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
RESIST ARREST SEARCH OR TRANSPORT,2023
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ABANDONED PROPERTY (NO OFFENSE),2022
FOUND PROPERTY (NO OFFENSE),2022
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2019
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
CRIMINAL TRESPASS WARNING,2023
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ROBBERY OF INDIVIDUAL (AGG),2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2022
PUBLIC INTOXICATION,2019
ASSAULT -PREGNANT PERSON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
DWI W/OPEN CONTAINER,2023
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ASSAULT (AGG) -DEADLY WEAPON,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2018
BMV,2023
THEFT - PRELIMINARY INVESTIGATION,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FOUND PROPERTY (NO OFFENSE),2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ASSAULT (AGG) -DISCH FIREARM  OCC BLDG/HOUSE/VEH (AGG),2022
POSS CONT SUB PEN GRP 1 <1G,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
ACCIDENTAL DEATH (NO OFFENSE),2023
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2022
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - PRELIMINARY INVEST,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP <$2,500 2+PREV CONV (NOT SHOPLIFT) PC31.03 (e4D)",2022
BURGLARY OF BUILDING - FORCED ENTRY,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FOUND PROPERTY (NO OFFENSE),2022
POSS CONT SUB PEN GRP 1 <1G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2023
ABANDONED PROPERTY (NO OFFENSE),2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ABANDONED PROPERTY (NO OFFENSE),2019
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ABANDONED PROPERTY (NO OFFENSE),2023
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
POSS MARIJUANA <2OZ,2023
CREDIT CARD OR DEBIT CARD ABUSE,2022
ASSAULT (AGG) -DEADLY WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FOUND PROPERTY (NO OFFENSE),2022
ASSAULT -BODILY INJURY ONLY,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2022
LOST PROPERTY (NO OFFENSE),2019
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT (AGG) -DEADLY WEAPON,2023
CRIM MISCHIEF > OR EQUAL $100 < $750,2022
ROBBERY OF INDIVIDUAL,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2023
CRIMINAL TRESPASS WARNING,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
TRAFFIC VIOLATION - NON HAZARDOUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
CRIMINAL TRESPASS AFFIDAVIT,2022
"CRIM MISCHIEF >OR EQUAL $750 BUT <$2,500",2017
BMV,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAF VIO -RECKLESS DRIVING,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -VERBAL THREAT,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
BURGLARY OF HABITATION - FORCED ENTRY,2017
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2017
POSSESSION OF DRUG PARAPHERNALIA,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
PUBLIC INTOXICATION,2022
POSS MARIJUANA <2OZ,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNLAWFUL POSS FIREARM BY FELON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
PUBLIC INTOXICATION,2019
BURGLARY OF HABITATION -NO FORCED ENTRY,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),2022
UNLAWFUL CARRYING WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS WARNING,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
CRIMINAL TRESPASS WARNING,2022
MURDER,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2022
IMPERSONATE SECURITY OFFICER,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
FOUND PROPERTY (NO OFFENSE),2020
ASSAULT -VERBAL THREAT,2015
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
NATURAL DEATH (NO OFFENSE),2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2023
FOUND PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS MARIJUANA <2OZ,2022
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2022
POSS MARIJUANA >2OZ< OR EQUAL 4OZ *DRUG FREE ZONE*,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
DWI,2022
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS,2016
BMV,2016
FOUND PROPERTY (NO OFFENSE),2023
FOUND PROPERTY (NO OFFENSE),2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2019
BMV,2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
PUBLIC INTOXICATION,2019
OTHER OFFENSE - MISDEMEANOR,2022
THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),2022
ASSAULT -VERBAL THREAT,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
LOST PROPERTY (NO OFFENSE),2022
THEFT OF PROP > OR EQUAL $50 BUT <$500- NOT SHOPLIFT,2014
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
CRIMINAL TRESPASS WARNING,2022
ABANDONED PROPERTY (NO OFFENSE),2019
OTHER OFFENSE - FELONY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BURGLARY OF HABITATION - FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
POSS CONT SUB PEN GRP 1 <1G,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FALSE ALARM OR REPORT,2015
SEIZED PROPERTY (NO OFFENSE),2020
TRAFFIC VIOLATION - HAZARDOUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIM MISCHIEF <$100,2023
ACCIDENT INV DAMAGE TO VEHICLE <$200,2023
BMV,2021
BURGLARY OF BUILDING - NO FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2023
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
THEFT FROM PERSON-PICKPOCKE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BURGLARY OF HABITATION -NO FORCED ENTRY,2022
FOUND PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ABANDONED PROPERTY (NO OFFENSE),2019
HARASSMENT,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -BODILY INJURY ONLY,2023
PUBLIC INTOXICATION,2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
PUBLIC INTOXICATION,2019
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2023
NATURAL DEATH (NO OFFENSE),2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2023
BURGLARY OF HABITATION -NO FORCED ENTRY,2017
FOUND PROPERTY (NO OFFENSE),2022
DWI W/OPEN CONTAINER,2021
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
ACCIDENT INV DAMAGE TO VEHICLE <$200,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS WARNING,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BURGLARY OF BUILDING - FORCED ENTRY,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
POSS MARIJUANA <2OZ,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2019
CRIM MISCHIEF <$100,2016
RESIST ARREST SEARCH OR TRANSPORT,2020
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2022
GRAFFITI PECUNIARY LOSS  >OR EQUAL $100 <$750 PC28.08(b2),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
MAN DEL CONT SUB PEN GRP 1 <1G,2022
BMV,2023
BURGLARY OF HABITATION - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
BMV,2022
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
MAN DEL CONT SUB PEN GRP 1 <1G,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNEXPLAINED DEATH (NO OFFENSE),2022
OTHER OFFENSE - MISDEMEANOR,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2022
BMV,2017
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ABANDONED PROPERTY (NO OFFENSE),2021
TRAFFIC VIOLATION - NON HAZARDOUS,2022
HARASSMENT,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
OTHER FELONY OFFENSE - FRAUD,2022
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
FOUND PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BMV,2022
MURDER,2019
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
DWI,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS MARIJUANA <2OZ,2022
CRIMINAL TRESPASS AFFIDAVIT,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2022
ABANDONED PROPERTY (NO OFFENSE),2022
ROBBERY OF BUSINESS (AGG),2020
TRAFFIC VIOLATION - NON HAZARDOUS,2023
GRAFFITI PECUNIARY LOSS  >OR EQUAL $100 <$750 PC28.08(b2),2022
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2022
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2019
INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIM MISCHIEF <$100,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
MAN DEL CONT SUB PEN GRP 1 > OR EQUAL 400G,2020
MURDER,2022
CREDIT CARD OR DEBIT CARD ABUSE - PRELIMINARY INVESTIGATION,2023
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2022
PUBLIC INTOXICATION,2019
EVADING ARREST DETENTION W/VEH OR WATERCRAFT,2022
LOST PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIM MISCHIEF >OR EQUAL $100 BUT <$750,2016
